HomeTeam,Score,AwayTeam,Penalties,Date,Time,Year
Brazil ,2–0, Russia,[], , ,1994
Brazil ,3–0, Cameroon,[], , ,1994
Sweden ,3–1, Russia,[], , ,1994
Russia ,6–1, Cameroon,[], , ,1994
Brazil ,1–1, Sweden,[], , ,1994
Germany ,1–0, Bolivia,[], , ,1994
Spain ,2–2, South Korea,[], , ,1994
Germany ,1–1, Spain,[], , ,1994
South Korea ,0–0, Bolivia,[], , ,1994
Bolivia ,1–3, Spain,[], , ,1994
Germany ,3–2, South Korea,[], , ,1994
Argentina ,4–0, Greece,[], , ,1994
Nigeria ,3–0, Bulgaria,[], , ,1994
Argentina ,2–1, Nigeria,[], , ,1994
Bulgaria ,4–0, Greece,[], , ,1994
Argentina ,0–2, Bulgaria,[], , ,1994
Greece ,0–2, Nigeria,[], , ,1994
Italy ,0–1, Republic of Ireland,[], , ,1994
Norway ,1–0, Mexico,[], , ,1994
Italy ,1–0, Norway,[], , ,1994
Mexico ,2–1, Republic of Ireland,[], , ,1994
Italy ,1–1, Mexico,[], , ,1994
Republic of Ireland ,0–0, Norway,[], , ,1994
Belgium ,1–0, Morocco,[], , ,1994
Netherlands ,2–1, Saudi Arabia,[], , ,1994
Belgium ,1–0, Netherlands,[], , ,1994
Saudi Arabia ,2–1, Morocco,[], , ,1994
Belgium ,0–1, Saudi Arabia,[], , ,1994
Morocco ,1–2, Netherlands,[], , ,1994
Germany ,3–2, Belgium,[], , ,1994
Spain ,3–0,  Switzerland,[], , ,1994
Saudi Arabia ,1–3, Sweden,[], , ,1994
Romania ,3–2, Argentina,[], , ,1994
Netherlands ,2–0, Republic of Ireland,[], , ,1994
Brazil ,1–0, United States,[], , ,1994
Nigeria ,1–2 (a.e.t.), Italy,[], , ,1994
Mexico ,1–1 (a.e.t.), Bulgaria,['1–3'], , ,1994
Italy ,2–1, Spain,[], , ,1994
Netherlands ,2–3, Brazil,[], , ,1994
Bulgaria ,2–1, Germany,[], , ,1994
Romania ,2–2 (a.e.t.), Sweden,['4–5'], , ,1994
Bulgaria ,1–2, Italy,[], , ,1994
Sweden ,0–1, Brazil,[], , ,1994
Sweden ,4–0, Bulgaria,[], , ,1994
Brazil ,0–0 (a.e.t.), Italy,['3–2'], , ,1994
Brazil ,2–1, Scotland,[],10 June 1998,17:30,1998
Morocco ,2–2, Norway,[],10 June 1998,21:00,1998
Scotland ,1–1, Norway,[],16 June 1998,17:30,1998
Brazil ,3–0, Morocco,[],16 June 1998,21:00,1998
Scotland ,0–3, Morocco,[],23 June 1998,21:00,1998
Brazil ,1–2, Norway,[],23 June 1998,21:00,1998
Italy ,2–2, Chile,[],11 June 1998,17:30,1998
Cameroon ,1–1, Austria,[],11 June 1998,21:00,1998
Chile ,1–1, Austria,[],17 June 1998,17:30,1998
Italy ,3–0, Cameroon,[],17 June 1998,21:00,1998
Italy ,2–1, Austria,[],23 June 1998,16:00,1998
Chile ,1–1, Cameroon,[],23 June 1998,16:00,1998
Saudi Arabia ,0–1, Denmark,[],12 June 1998,17:30,1998
France ,3–0, South Africa,[],12 June 1998,21:00,1998
South Africa ,1–1, Denmark,[],18 June 1998,17:30,1998
France ,4–0, Saudi Arabia,[],18 June 1998,21:00,1998
France ,2–1, Denmark,[],24 June 1998,16:00,1998
South Africa ,2–2, Saudi Arabia,[],24 June 1998,16:00,1998
Paraguay ,0–0, Bulgaria,[],12 June 1998,14:30,1998
Spain ,2–3, Nigeria,[],13 June 1998,14:30,1998
Nigeria ,1–0, Bulgaria,[],19 June 1998,17:30,1998
Spain ,0–0, Paraguay,[],19 June 1998,21:00,1998
Nigeria ,1–3, Paraguay,[],24 June 1998,21:00,1998
Spain ,6–1, Bulgaria,[],24 June 1998,21:00,1998
South Korea ,1–3, Mexico,[],13 June 1998,17:30,1998
Netherlands ,0–0, Belgium,[],13 June 1998,21:00,1998
Belgium ,2–2, Mexico,[],20 June 1998,17:30,1998
Netherlands ,5–0, South Korea,[],20 June 1998,21:00,1998
Netherlands ,2–2, Mexico,[],25 June 1998,16:00,1998
Belgium ,1–1, South Korea,[],25 June 1998,16:00,1998
FR Yugoslavia ,1–0, Iran,[],14 June 1998,17:30,1998
Germany ,2–0, United States,[],15 June 1998,21:00,1998
Germany ,2–2, FR Yugoslavia,[],21 June 1998,14:30,1998
United States ,1–2, Iran,[],21 June 1998,21:00,1998
Germany ,2–0, Iran,[],25 June 1998,21:00,1998
United States ,0–1, FR Yugoslavia,[],25 June 1998,21:00,1998
England ,2–0, Tunisia,[],15 June 1998,14:30,1998
Romania ,1–0, Colombia,[],15 June 1998,17:30,1998
Colombia ,1–0, Tunisia,[],22 June 1998,17:30,1998
Romania ,2–1, England,[],22 June 1998,21:00,1998
Colombia ,0–2, England,[],26 June 1998,21:00,1998
Romania ,1–1, Tunisia,[],26 June 1998,21:00,1998
Argentina ,1–0, Japan,[],14 June 1998,14:30,1998
Jamaica ,1–3, Croatia,[],14 June 1998,21:00,1998
Japan ,0–1, Croatia,[],20 June 1998,14:30,1998
Argentina ,5–0, Jamaica,[],21 June 1998,17:30,1998
Argentina ,1–0, Croatia,[],26 June 1998,16:00,1998
Japan ,1–2, Jamaica,[],26 June 1998,16:00,1998
Italy ,1–0, Norway,[],27 June 1998,16:30,1998
Brazil ,4–1, Chile,[],27 June 1998,21:00,1998
France ,1–0 (a.e.t.), Paraguay,[],28 June 1998,16:30,1998
Nigeria ,1–4, Denmark,[],28 June 1998,21:00,1998
Germany ,2–1, Mexico,[],29 June 1998,16:30,1998
Netherlands ,2–1, FR Yugoslavia,[],29 June 1998,21:00,1998
Romania ,0–1, Croatia,[],30 June 1998,16:30,1998
Argentina ,2–2 (a.e.t.), England,['4–3'],30 June 1998,21:00,1998
Italy ,0–0 (a.e.t.), France,['3–4'],3 July 1998,16:30,1998
Brazil ,3–2, Denmark,[],3 July 1998,21:00,1998
Netherlands ,2–1, Argentina,[],4 July 1998,16:30,1998
Germany ,0–3, Croatia,[],4 July 1998,21:00,1998
Brazil ,1–1 (a.e.t.), Netherlands,['4–2'],7 July 1998,21:00,1998
France ,2–1, Croatia,[],8 July 1998,21:00,1998
Netherlands ,1–2, Croatia,[],11 July 1998,21:00,1998
Brazil ,0–3, France,[],12 July 1998,21:00,1998
France ,0–1, Senegal,[],31 May 2002,20:30,2002
Uruguay ,1–2, Denmark,[],1 June 2002,18:00,2002
Denmark ,1–1, Senegal,[],6 June 2002,15:30,2002
France ,0–0, Uruguay,[],6 June 2002,20:30,2002
Denmark ,2–0, France,[],11 June 2002,15:30,2002
Senegal ,3–3, Uruguay,[],11 June 2002,15:30,2002
Paraguay ,2–2, South Africa,[],2 June 2002,16:30,2002
Spain ,3–1, Slovenia,[],2 June 2002,20:30,2002
Spain ,3–1, Paraguay,[],7 June 2002,18:00,2002
South Africa ,1–0, Slovenia,[],8 June 2002,15:30,2002
South Africa ,2–3, Spain,[],12 June 2002,20:30,2002
Slovenia ,1–3, Paraguay,[],12 June 2002,20:30,2002
Brazil ,2–1, Turkey,[],3 June 2002,18:00,2002
China ,0–2, Costa Rica,[],4 June 2002,15:30,2002
Brazil ,4–0, China,[],8 June 2002,20:30,2002
Costa Rica ,1–1, Turkey,[],9 June 2002,18:00,2002
Costa Rica ,2–5, Brazil,[],13 June 2002,15:30,2002
Turkey ,3–0, China,[],13 June 2002,15:30,2002
South Korea ,2–0, Poland,[],4 June 2002,20:30,2002
United States ,3–2, Portugal,[],5 June 2002,18:00,2002
South Korea ,1–1, United States,[],10 June 2002,15:30,2002
Portugal ,4–0, Poland,[],10 June 2002,20:30,2002
Portugal ,0–1, South Korea,[],14 June 2002,20:30,2002
Poland ,3–1, United States,[],14 June 2002,20:30,2002
Republic of Ireland ,1–1, Cameroon,[],1 June 2002,15:30,2002
Germany ,8–0, Saudi Arabia,[],1 June 2002,20:30,2002
Germany ,1–1, Republic of Ireland,[],5 June 2002,20:30,2002
Cameroon ,1–0, Saudi Arabia,[],6 June 2002,18:00,2002
Cameroon ,0–2, Germany,[],11 June 2002,20:30,2002
Saudi Arabia ,0–3, Republic of Ireland,[],11 June 2002,20:30,2002
Argentina ,1–0, Nigeria,[],2 June 2002,14:30,2002
England ,1–1, Sweden,[],2 June 2002,18:30,2002
Sweden ,2–1, Nigeria,[],7 June 2002,15:30,2002
Argentina ,0–1, England,[],7 June 2002,20:30,2002
Sweden ,1–1, Argentina,[],12 June 2002,15:30,2002
Nigeria ,0–0, England,[],12 June 2002,15:30,2002
Croatia ,0–1, Mexico,[],3 June 2002,15:30,2002
Italy ,2–0, Ecuador,[],3 June 2002,20:30,2002
Italy ,1–2, Croatia,[],8 June 2002,18:00,2002
Mexico ,2–1, Ecuador,[],9 June 2002,15:30,2002
Mexico ,1–1, Italy,[],13 June 2002,20:30,2002
Ecuador ,1–0, Croatia,[],13 June 2002,20:30,2002
Japan ,2–2, Belgium,[],4 June 2002,18:00,2002
Russia ,2–0, Tunisia,[],5 June 2002,15:30,2002
Japan ,1–0, Russia,[],9 June 2002,20:30,2002
Tunisia ,1–1, Belgium,[],10 June 2002,18:00,2002
Tunisia ,0–2, Japan,[],14 June 2002,15:30,2002
Belgium ,3–2, Russia,[],14 June 2002,15:30,2002
Germany ,1–0, Paraguay,[],15 June 2002,15:30,2002
Denmark ,0–3, England,[],15 June 2002,20:30,2002
Sweden ,1–2 (a.e.t.), Senegal,[],16 June 2002,15:30,2002
Spain ,1–1 (a.e.t.), Republic of Ireland,['3–2'],16 June 2002,20:30,2002
Mexico ,0–2, United States,[],17 June 2002,15:30,2002
Brazil ,2–0, Belgium,[],17 June 2002,20:30,2002
Japan ,0–1, Turkey,[],18 June 2002,15:30,2002
South Korea ,2–1 (a.e.t.), Italy,[],18 June 2002,20:30,2002
England ,1–2, Brazil,[],21 June 2002,15:30,2002
Germany ,1–0, United States,[],21 June 2002,20:30,2002
Spain ,0–0 (a.e.t.), South Korea,['3–5'],22 June 2002,15:30,2002
Senegal ,0–1 (a.e.t.), Turkey,[],22 June 2002,20:30,2002
Germany ,1–0, South Korea,[],25 June 2002,20:30,2002
Brazil ,1–0, Turkey,[],26 June 2002,20:30,2002
South Korea ,2–3, Turkey,[],29 June 2002,20:00,2002
Germany ,0–2, Brazil,[],30 June 2002,20:00,2002
Germany ,4–2, Costa Rica,[],9 June 2006,18:00,2006
Poland ,0–2, Ecuador,[],9 June 2006,21:00,2006
Germany ,1–0, Poland,[],14 June 2006,21:00,2006
Ecuador ,3–0, Costa Rica,[],15 June 2006,15:00,2006
Ecuador ,0–3, Germany,[],20 June 2006,16:00,2006
Costa Rica ,1–2, Poland,[],20 June 2006,16:00,2006
England ,1–0, Paraguay,[],10 June 2006,15:00,2006
Trinidad and Tobago ,0–0, Sweden,[],10 June 2006,18:00,2006
England ,2–0, Trinidad and Tobago,[],15 June 2006,18:00,2006
Sweden ,1–0, Paraguay,[],15 June 2006,21:00,2006
Sweden ,2–2, England,[],20 June 2006,21:00,2006
Paraguay ,2–0, Trinidad and Tobago,[],20 June 2006,21:00,2006
Argentina ,2–1, Ivory Coast,[],10 June 2006,21:00,2006
Serbia and Montenegro ,0–1, Netherlands,[],11 June 2006,15:00,2006
Argentina ,6–0, Serbia and Montenegro,[],16 June 2006,15:00,2006
Netherlands ,2–1, Ivory Coast,[],16 June 2006,18:00,2006
Netherlands ,0–0, Argentina,[],21 June 2006,21:00,2006
Ivory Coast ,3–2, Serbia and Montenegro,[],21 June 2006,21:00,2006
Mexico ,3–1, Iran,[],11 June 2006,18:00,2006
Angola ,0–1, Portugal,[],11 June 2006,21:00,2006
Mexico ,0–0, Angola,[],16 June 2006,21:00,2006
Portugal ,2–0, Iran,[],17 June 2006,15:00,2006
Portugal ,2–1, Mexico,[],21 June 2006,16:00,2006
Iran ,1–1, Angola,[],21 June 2006,16:00,2006
United States ,0–3, Czech Republic,[],12 June 2006,18:00,2006
Italy ,2–0, Ghana,[],12 June 2006,21:00,2006
Czech Republic ,0–2, Ghana,[],17 June 2006,18:00,2006
Italy ,1–1, United States,[],17 June 2006,21:00,2006
Czech Republic ,0–2, Italy,[],22 June 2006,16:00,2006
Ghana ,2–1, United States,[],22 June 2006,16:00,2006
Australia ,3–1, Japan,[],12 June 2006,15:00,2006
Brazil ,1–0, Croatia,[],13 June 2006,21:00,2006
Japan ,0–0, Croatia,[],18 June 2006,15:00,2006
Brazil ,2–0, Australia,[],18 June 2006,18:00,2006
Japan ,1–4, Brazil,[],22 June 2006,21:00,2006
Croatia ,2–2, Australia,[],22 June 2006,21:00,2006
South Korea ,2–1, Togo,[],13 June 2006,15:00,2006
France ,0–0,  Switzerland,[],13 June 2006,18:00,2006
France ,1–1, South Korea,[],18 June 2006,21:00,2006
Togo ,0–2,  Switzerland,[],19 June 2006,15:00,2006
Togo ,0–2, France,[],23 June 2006,21:00,2006
Switzerland ,2–0, South Korea,[],23 June 2006,21:00,2006
Spain ,4–0, Ukraine,[],14 June 2006,15:00,2006
Tunisia ,2–2, Saudi Arabia,[],14 June 2006,18:00,2006
Saudi Arabia ,0–4, Ukraine,[],19 June 2006,18:00,2006
Spain ,3–1, Tunisia,[],19 June 2006,21:00,2006
Saudi Arabia ,0–1, Spain,[],23 June 2006,16:00,2006
Ukraine ,1–0, Tunisia,[],23 June 2006,16:00,2006
Germany ,2–0, Sweden,[],24 June 2006,17:00,2006
Argentina ,2–1 (a.e.t.), Mexico,[],24 June 2006,21:00,2006
England ,1–0, Ecuador,[],25 June 2006,17:00,2006
Portugal ,1–0, Netherlands,[],25 June 2006,21:00,2006
Italy ,1–0, Australia,[],26 June 2006,17:00,2006
Switzerland ,0–0 (a.e.t.), Ukraine,['0–3'],26 June 2006,21:00,2006
Brazil ,3–0, Ghana,[],27 June 2006,17:00,2006
Spain ,1–3, France,[],27 June 2006,21:00,2006
Germany ,1–1 (a.e.t.), Argentina,['4–2'],30 June 2006,17:00,2006
Italy ,3–0, Ukraine,[],30 June 2006,21:00,2006
England ,0–0 (a.e.t.), Portugal,['1–3'],1 July 2006,17:00,2006
Brazil ,0–1, France,[],1 July 2006,21:00,2006
Germany ,0–2 (a.e.t.), Italy,[],4 July 2006,21:00,2006
Portugal ,0–1, France,[],5 July 2006,21:00,2006
Germany ,3–1, Portugal,[],8 July 2006,21:00,2006
Italy ,1–1 (a.e.t.), France,['5–3'],9 July 2006,20:00,2006
South Africa ,1–1, Mexico,[],11 June 2010,16:00,2010
Uruguay ,0–0, France,[],11 June 2010,20:30,2010
South Africa ,0–3, Uruguay,[],16 June 2010,20:30,2010
France ,0–2, Mexico,[],17 June 2010,20:30,2010
Mexico ,0–1, Uruguay,[],22 June 2010,16:00,2010
France ,1–2, South Africa,[],22 June 2010,16:00,2010
South Korea ,2–0, Greece,[],12 June 2010,13:30,2010
Argentina ,1–0, Nigeria,[],12 June 2010,16:00,2010
Argentina ,4–1, South Korea,[],17 June 2010,13:30,2010
Greece ,2–1, Nigeria,[],17 June 2010,16:00,2010
Nigeria ,2–2, South Korea,[],22 June 2010,20:30,2010
Greece ,0–2, Argentina,[],22 June 2010,20:30,2010
England ,1–1, United States,[],12 June 2010,20:30,2010
Algeria ,0–1, Slovenia,[],13 June 2010,13:30,2010
Slovenia ,2–2, United States,[],18 June 2010,16:00,2010
England ,0–0, Algeria,[],18 June 2010,20:30,2010
Slovenia ,0–1, England,[],23 June 2010,16:00,2010
United States ,1–0, Algeria,[],23 June 2010,16:00,2010
Serbia ,0–1, Ghana,[],13 June 2010,16:00,2010
Germany ,4–0, Australia,[],13 June 2010,20:30,2010
Germany ,0–1, Serbia,[],18 June 2010,13:30,2010
Ghana ,1–1, Australia,[],19 June 2010,16:00,2010
Ghana ,0–1, Germany,[],23 June 2010,20:30,2010
Australia ,2–1, Serbia,[],23 June 2010,20:30,2010
Netherlands ,2–0, Denmark,[],14 June 2010,13:30,2010
Japan ,1–0, Cameroon,[],14 June 2010,16:00,2010
Netherlands ,1–0, Japan,[],19 June 2010,13:30,2010
Cameroon ,1–2, Denmark,[],19 June 2010,20:30,2010
Denmark ,1–3, Japan,[],24 June 2010,20:30,2010
Cameroon ,1–2, Netherlands,[],24 June 2010,20:30,2010
Italy ,1–1, Paraguay,[],14 June 2010,20:30,2010
New Zealand ,1–1, Slovakia,[],15 June 2010,13:30,2010
Slovakia ,0–2, Paraguay,[],20 June 2010,13:30,2010
Italy ,1–1, New Zealand,[],20 June 2010,16:00,2010
Slovakia ,3–2, Italy,[],24 June 2010,16:00,2010
Paraguay ,0–0, New Zealand,[],24 June 2010,16:00,2010
Ivory Coast ,0–0, Portugal,[],15 June 2010,16:00,2010
Brazil ,2–1, North Korea,[],15 June 2010,20:30,2010
Brazil ,3–1, Ivory Coast,[],20 June 2010,20:30,2010
Portugal ,7–0, North Korea,[],21 June 2010,13:30,2010
Portugal ,0–0, Brazil,[],25 June 2010,16:00,2010
North Korea ,0–3, Ivory Coast,[],25 June 2010,16:00,2010
Honduras ,0–1, Chile,[],16 June 2010,13:30,2010
Spain ,0–1,  Switzerland,[],16 June 2010,16:00,2010
Chile ,1–0,  Switzerland,[],21 June 2010,16:00,2010
Spain ,2–0, Honduras,[],21 June 2010,20:30,2010
Chile ,1–2, Spain,[],25 June 2010,20:30,2010
Switzerland ,0–0, Honduras,[],25 June 2010,20:30,2010
Uruguay ,2–1, South Korea,[],26 June 2010,16:00,2010
United States ,1–2 (a.e.t.), Ghana,[],26 June 2010,20:30,2010
Germany ,4–1, England,[],27 June 2010,16:00,2010
Argentina ,3–1, Mexico,[],27 June 2010,20:30,2010
Netherlands ,2–1, Slovakia,[],28 June 2010,16:00,2010
Brazil ,3–0, Chile,[],28 June 2010,20:30,2010
Paraguay ,0–0 (a.e.t.), Japan,['5–3'],29 June 2010,16:00,2010
Spain ,1–0, Portugal,[],29 June 2010,20:30,2010
Netherlands ,2–1, Brazil,[],2 July 2010,16:00,2010
Uruguay ,1–1 (a.e.t.), Ghana,['4–2'],2 July 2010,20:30,2010
Argentina ,0–4, Germany,[],3 July 2010,16:00,2010
Paraguay ,0–1, Spain,[],3 July 2010,20:30,2010
Uruguay ,2–3, Netherlands,[],6 July 2010,20:30,2010
Germany ,0–1, Spain,[],7 July 2010,20:30,2010
Uruguay ,2–3, Germany,[],10 July 2010,20:30,2010
Netherlands ,0–1 (a.e.t.), Spain,[],11 July 2010,20:30,2010
Brazil ,3–1, Croatia,[],12 June 2014,17:00,2014
Mexico ,1–0, Cameroon,[],13 June 2014,13:00,2014
Brazil ,0–0, Mexico,[],17 June 2014,16:00,2014
Cameroon ,0–4, Croatia,[],18 June 2014,18:00,2014
Cameroon ,1–4, Brazil,[],23 June 2014,17:00,2014
Croatia ,1–3, Mexico,[],23 June 2014,17:00,2014
Spain ,1–5, Netherlands,[],13 June 2014,16:00,2014
Chile ,3–1, Australia,[],13 June 2014,18:00,2014
Australia ,2–3, Netherlands,[],18 June 2014,13:00,2014
Spain ,0–2, Chile,[],18 June 2014,16:00,2014
Australia ,0–3, Spain,[],23 June 2014,13:00,2014
Netherlands ,2–0, Chile,[],23 June 2014,13:00,2014
Colombia ,3–0, Greece,[],14 June 2014,13:00,2014
Ivory Coast ,2–1, Japan,[],14 June 2014,22:00,2014
Colombia ,2–1, Ivory Coast,[],19 June 2014,13:00,2014
Japan ,0–0, Greece,[],19 June 2014,19:00,2014
Japan ,1–4, Colombia,[],24 June 2014,16:00,2014
Greece ,2–1, Ivory Coast,[],24 June 2014,17:00,2014
Uruguay ,1–3, Costa Rica,[],14 June 2014,16:00,2014
England ,1–2, Italy,[],14 June 2014,18:00,2014
Uruguay ,2–1, England,[],19 June 2014,16:00,2014
Italy ,0–1, Costa Rica,[],20 June 2014,13:00,2014
Italy ,0–1, Uruguay,[],24 June 2014,13:00,2014
Costa Rica ,0–0, England,[],24 June 2014,13:00,2014
Switzerland ,2–1, Ecuador,[],15 June 2014,13:00,2014
France ,3–0, Honduras,[],15 June 2014,16:00,2014
Switzerland ,2–5, France,[],20 June 2014,16:00,2014
Honduras ,1–2, Ecuador,[],20 June 2014,19:00,2014
Honduras ,0–3,  Switzerland,[],25 June 2014,16:00,2014
Ecuador ,0–0, France,[],25 June 2014,17:00,2014
Argentina ,2–1, Bosnia and Herzegovina,[],15 June 2014,19:00,2014
Iran ,0–0, Nigeria,[],16 June 2014,16:00,2014
Argentina ,1–0, Iran,[],21 June 2014,13:00,2014
Nigeria ,1–0, Bosnia and Herzegovina,[],21 June 2014,18:00,2014
Nigeria ,2–3, Argentina,[],25 June 2014,13:00,2014
Bosnia and Herzegovina ,3–1, Iran,[],25 June 2014,13:00,2014
Germany ,4–0, Portugal,[],16 June 2014,13:00,2014
Ghana ,1–2, United States,[],16 June 2014,19:00,2014
Germany ,2–2, Ghana,[],21 June 2014,16:00,2014
United States ,2–2, Portugal,[],22 June 2014,18:00,2014
United States ,0–1, Germany,[],26 June 2014,13:00,2014
Portugal ,2–1, Ghana,[],26 June 2014,13:00,2014
Belgium ,2–1, Algeria,[],17 June 2014,13:00,2014
Russia ,1–1, South Korea,[],17 June 2014,18:00,2014
Belgium ,1–0, Russia,[],22 June 2014,13:00,2014
South Korea ,2–4, Algeria,[],22 June 2014,16:00,2014
South Korea ,0–1, Belgium,[],26 June 2014,17:00,2014
Algeria ,1–1, Russia,[],26 June 2014,17:00,2014
Brazil ,1–1 (a.e.t.), Chile,['3–2'],28 June 2014,13:00,2014
Colombia ,2–0, Uruguay,[],28 June 2014,17:00,2014
Netherlands ,2–1, Mexico,[],29 June 2014,13:00,2014
Costa Rica ,1–1 (a.e.t.), Greece,['5–3'],29 June 2014,17:00,2014
France ,2–0, Nigeria,[],30 June 2014,13:00,2014
Germany ,2–1 (a.e.t.), Algeria,[],30 June 2014,17:00,2014
Argentina ,1–0 (a.e.t.),  Switzerland,[],1 July 2014,13:00,2014
Belgium ,2–1 (a.e.t.), United States,[],1 July 2014,17:00,2014
France ,0–1, Germany,[],4 July 2014,13:00,2014
Brazil ,2–1, Colombia,[],4 July 2014,17:00,2014
Argentina ,1–0, Belgium,[],5 July 2014,13:00,2014
Netherlands ,0–0 (a.e.t.), Costa Rica,['4–3'],5 July 2014,17:00,2014
Brazil ,1–7, Germany,[],8 July 2014,17:00,2014
Netherlands ,0–0 (a.e.t.), Argentina,['2–4'],9 July 2014,17:00,2014
Brazil ,0–3, Netherlands,[],12 July 2014,17:00,2014
Germany ,1–0 (a.e.t.), Argentina,[],13 July 2014,16:00,2014
Russia ,5–0, Saudi Arabia,[],14 June 2018,18:00,2018
Egypt ,0–1, Uruguay,[],15 June 2018,17:00,2018
Russia ,3–1, Egypt,[],19 June 2018,21:00,2018
Uruguay ,1–0, Saudi Arabia,[],20 June 2018,18:00,2018
Uruguay ,3–0, Russia,[],25 June 2018,18:00,2018
Saudi Arabia ,2–1, Egypt,[],25 June 2018,17:00,2018
Morocco ,0–1, Iran,[],15 June 2018,18:00,2018
Portugal ,3–3, Spain,[],15 June 2018,21:00,2018
Portugal ,1–0, Morocco,[],20 June 2018,15:00,2018
Iran ,0–1, Spain,[],20 June 2018,21:00,2018
Iran ,1–1, Portugal,[],25 June 2018,21:00,2018
Spain ,2–2, Morocco,[],25 June 2018,20:00,2018
France ,2–1, Australia,[],16 June 2018,13:00,2018
Peru ,0–1, Denmark,[],16 June 2018,19:00,2018
Denmark ,1–1, Australia,[],21 June 2018,16:00,2018
France ,1–0, Peru,[],21 June 2018,20:00,2018
Denmark ,0–0, France,[],26 June 2018,17:00,2018
Australia ,0–2, Peru,[],26 June 2018,17:00,2018
Argentina ,1–1, Iceland,[],16 June 2018,16:00,2018
Croatia ,2–0, Nigeria,[],16 June 2018,21:00,2018
Argentina ,0–3, Croatia,[],21 June 2018,21:00,2018
Nigeria ,2–0, Iceland,[],22 June 2018,18:00,2018
Nigeria ,1–2, Argentina,[],26 June 2018,21:00,2018
Iceland ,1–2, Croatia,[],26 June 2018,21:00,2018
Costa Rica ,0–1, Serbia,[],17 June 2018,16:00,2018
Brazil ,1–1,  Switzerland,[],17 June 2018,21:00,2018
Brazil ,2–0, Costa Rica,[],22 June 2018,15:00,2018
Serbia ,1–2,  Switzerland,[],22 June 2018,20:00,2018
Serbia ,0–2, Brazil,[],27 June 2018,21:00,2018
Switzerland ,2–2, Costa Rica,[],27 June 2018,21:00,2018
Germany ,0–1, Mexico,[],17 June 2018,18:00,2018
Sweden ,1–0, South Korea,[],18 June 2018,15:00,2018
South Korea ,1–2, Mexico,[],23 June 2018,18:00,2018
Germany ,2–1, Sweden,[],23 June 2018,21:00,2018
South Korea ,2–0, Germany,[],27 June 2018,17:00,2018
Mexico ,0–3, Sweden,[],27 June 2018,19:00,2018
Belgium ,3–0, Panama,[],18 June 2018,18:00,2018
Tunisia ,1–2, England,[],18 June 2018,21:00,2018
Belgium ,5–2, Tunisia,[],23 June 2018,15:00,2018
England ,6–1, Panama,[],24 June 2018,15:00,2018
England ,0–1, Belgium,[],28 June 2018,20:00,2018
Panama ,1–2, Tunisia,[],28 June 2018,21:00,2018
Colombia ,1–2, Japan,[],19 June 2018,15:00,2018
Poland ,1–2, Senegal,[],19 June 2018,18:00,2018
Japan ,2–2, Senegal,[],24 June 2018,20:00,2018
Poland ,0–3, Colombia,[],24 June 2018,21:00,2018
Japan ,0–1, Poland,[],28 June 2018,17:00,2018
Senegal ,0–1, Colombia,[],28 June 2018,18:00,2018
France ,4–3, Argentina,[],30 June 2018,17:00,2018
Uruguay ,2–1, Portugal,[],30 June 2018,21:00,2018
Spain ,1–1 (a.e.t.), Russia,['3–4'],1 July 2018,17:00,2018
Croatia ,1–1 (a.e.t.), Denmark,['3–2'],1 July 2018,21:00,2018
Brazil ,2–0, Mexico,[],2 July 2018,18:00,2018
Belgium ,3–2, Japan,[],2 July 2018,21:00,2018
Sweden ,1–0,  Switzerland,[],3 July 2018,17:00,2018
Colombia ,1–1 (a.e.t.), England,['3–4'],3 July 2018,21:00,2018
Uruguay ,0–2, France,[],6 July 2018,17:00,2018
Brazil ,1–2, Belgium,[],6 July 2018,21:00,2018
Sweden ,0–2, England,[],7 July 2018,18:00,2018
Russia ,2–2 (a.e.t.), Croatia,['3–4'],7 July 2018,21:00,2018
France ,1–0, Belgium,[],10 July 2018,21:00,2018
Croatia ,2–1 (a.e.t.), England,[],11 July 2018,21:00,2018
Belgium ,2–0, England,[],14 July 2018,17:00,2018
France ,4–2, Croatia,[],15 July 2018,18:00,2018
Qatar ,0–2, Ecuador,[],20 November 2022,19:00,2022
Senegal ,0–2, Netherlands,[],21 November 2022,19:00,2022
Qatar ,1–3, Senegal,[],25 November 2022,16:00,2022
Netherlands ,1–1, Ecuador,[],25 November 2022,19:00,2022
Ecuador ,1–2, Senegal,[],29 November 2022,18:00,2022
Netherlands ,2–0, Qatar,[],29 November 2022,18:00,2022
England ,6–2, Iran,[],21 November 2022,16:00,2022
United States ,1–1, Wales,[],21 November 2022,22:00,2022
Wales ,0–2, Iran,[],25 November 2022,13:00,2022
England ,0–0, United States,[],25 November 2022,22:00,2022
Wales ,0–3, England,[],29 November 2022,22:00,2022
Iran ,0–1, United States,[],29 November 2022,22:00,2022
Argentina ,1–2, Saudi Arabia,[],22 November 2022,13:00,2022
Mexico ,0–0, Poland,[],22 November 2022,19:00,2022
Poland ,2–0, Saudi Arabia,[],26 November 2022,16:00,2022
Argentina ,2–0, Mexico,[],26 November 2022,22:00,2022
Poland ,0–2, Argentina,[],30 November 2022,22:00,2022
Saudi Arabia ,1–2, Mexico,[],30 November 2022,22:00,2022
Denmark ,0–0, Tunisia,[],22 November 2022,16:00,2022
France ,4–1, Australia,[],22 November 2022,22:00,2022
Tunisia ,0–1, Australia,[],26 November 2022,13:00,2022
France ,2–1, Denmark,[],26 November 2022,19:00,2022
