HomeTeam,Score,AwayTeam,Penalties,Date,Time,Year
Hungary ,4–2 (a.e.t.), Uruguay,[],30 June 1954,18:00,1954
Austria ,3–1, Uruguay,[],3 July 1954,17:00,1954
West Germany ,3–2, Hungary,[],4 July 1954,17:00,1954
Argentina ,1–3, West Germany,[],8 June 1958,19:00,1958
Northern Ireland ,1–0, Czechoslovakia,[],8 June 1958,19:00,1958
West Germany ,2–2, Czechoslovakia,[],11 June 1958,19:00,1958
Argentina ,3–1, Northern Ireland,[],11 June 1958,19:00,1958
West Germany ,2–2, Northern Ireland,[],15 June 1958,19:00,1958
Czechoslovakia ,6–1, Argentina,[],15 June 1958,19:00,1958
Northern Ireland ,2–1 (a.e.t.), Czechoslovakia,[],17 June 1958,19:00,1958
France ,7–3, Paraguay,[],8 June 1958,19:00,1958
Yugoslavia ,1–1, Scotland,[],8 June 1958,19:00,1958
Yugoslavia ,3–2, France,[],11 June 1958,19:00,1958
Paraguay ,3–2, Scotland,[],11 June 1958,19:00,1958
France ,2–1, Scotland,[],15 June 1958,19:00,1958
Paraguay ,3–3, Yugoslavia,[],15 June 1958,19:00,1958
Sweden ,3–0, Mexico,[],8 June 1958,14:00,1958
Hungary ,1–1, Wales,[],8 June 1958,19:00,1958
Mexico ,1–1, Wales,[],11 June 1958,19:00,1958
Sweden ,2–1, Hungary,[],12 June 1958,19:00,1958
Sweden ,0–0, Wales,[],15 June 1958,14:00,1958
Hungary ,4–0, Mexico,[],15 June 1958,19:00,1958
Wales ,2–1, Hungary,[],17 June 1958,19:00,1958
Brazil ,3–0, Austria,[],8 June 1958,19:00,1958
Soviet Union ,2–2, England,[],8 June 1958,19:00,1958
Brazil ,0–0, England,[],11 June 1958,19:00,1958
Soviet Union ,2–0, Austria,[],11 June 1958,19:00,1958
England ,2–2, Austria,[],15 June 1958,19:00,1958
Brazil ,2–0, Soviet Union,[],15 June 1958,19:00,1958
Soviet Union ,1–0, England,[],17 June 1958,19:00,1958
Brazil ,1–0, Wales,[],19 June 1958,19:00,1958
France ,4–0, Northern Ireland,[],19 June 1958,19:00,1958
Sweden ,2–0, Soviet Union,[],19 June 1958,19:00,1958
West Germany ,1–0, Yugoslavia,[],19 June 1958,19:00,1958
Brazil ,5–2, France,[],24 June 1958,19:00,1958
Sweden ,3–1, West Germany,[],24 June 1958,19:00,1958
France ,6–3, West Germany,[],28 June 1958,17:00,1958
Brazil ,5–2, Sweden,[],29 June 1958,15:00,1958
Uruguay ,2–1, Colombia,[],30 May 1962,15:00,1962
Soviet Union ,2–0, Yugoslavia,[],31 May 1962,15:00,1962
Yugoslavia ,3–1, Uruguay,[],2 June 1962,15:00,1962
Soviet Union ,4–4, Colombia,[],3 June 1962,15:00,1962
Soviet Union ,2–1, Uruguay,[],6 June 1962,15:00,1962
Yugoslavia ,5–0, Colombia,[],7 June 1962,15:00,1962
Chile ,3–1,  Switzerland,[],30 May 1962,15:00,1962
West Germany ,0–0, Italy,[],31 May 1962,15:00,1962
Chile ,2–0, Italy,[],2 June 1962,15:00,1962
West Germany ,2–1,  Switzerland,[],3 June 1962,15:00,1962
West Germany ,2–0, Chile,[],6 June 1962,15:00,1962
Italy ,3–0,  Switzerland,[],7 June 1962,15:00,1962
Brazil ,2–0, Mexico,[],30 May 1962,15:00,1962
Czechoslovakia ,1–0, Spain,[],31 May 1962,15:00,1962
Brazil ,0–0, Czechoslovakia,[],2 June 1962,15:00,1962
Spain ,1–0, Mexico,[],3 June 1962,15:00,1962
Brazil ,2–1, Spain,[],6 June 1962,15:00,1962
Mexico ,3–1, Czechoslovakia,[],7 June 1962,15:00,1962
Argentina ,1–0, Bulgaria,[],30 May 1962,15:00,1962
